Ordered.D;Label;DNA_ID;treat;gf;gf2;grassdom;leaf_biomass_june;root_biomass_june;leaf_biomass_march;root_biomass_march;gr_leaf;gr_root;specnb_amf;rarespecnb_amf
1;M_SM1;1;mycorrhizal;monoculture;forb-mono;0;1,679;0,51;0,141;0,037;1,538;0,473;0;0
4;M_AM1;2;mycorrhizal;monoculture;forb-mono;0;1,319;0,57;0,06;0,021;1,259;0,549;0;0
7;M_BP1;3;mycorrhizal;monoculture;forb-mono;0;1,579;1,25;0,023;0,009;1,556;1,241;26;26
10;M_TO1;4;mycorrhizal;monoculture;forb-mono;0;1,239;1,25;0,064;0,025;1,175;1,225;33;33
13;M_PA1;5;mycorrhizal;monoculture;forb-mono;0;1,199;0,75;0,042;0,01;1,157;0,74;1;1
16;M_PV1;6;mycorrhizal;monoculture;forb-mono;0;0,829;1,05;0,046;0,017;0,783;1,033;37;37
19;M_RA1;7;mycorrhizal;monoculture;forb-mono;0;2,019;2,135;0,114;0,047;1,905;2,088;0;0
22;M_SV1;8;mycorrhizal;monoculture;forb-mono;0;1,17;1,09;0,073;0,104;1,097;0,986;0;0
25;M_BR1;9;mycorrhizal;monoculture;grass-mono;100;1,049;0,95;0,044;0,01;1,005;0,94;1;1
28;M_DG1;10;mycorrhizal;monoculture;grass-mono;100;6,219;5,815;0,195;0,179;6,024;5,636;6;6
31;M_FR1;11;mycorrhizal;monoculture;grass-mono;100;1,42;1,495;0,127;0,085;1,293;1,41;0;0
34;M_LP1;12;mycorrhizal;monoculture;grass-mono;100;4,859;3,175;0,196;0,132;4,663;3,043;1;1
37;M_PHP1;13;mycorrhizal;monoculture;grass-mono;100;1,279;1,666;0,106;0,099;1,173;1,567;0;0
40;M_PP1;14;mycorrhizal;monoculture;grass-mono;100;0,704;1,435;0,043;0,044;0,661;1,391;1;1
43;M_AC1;15;mycorrhizal;monoculture;grass-mono;100;3,079;1,29;0,027;0,019;3,052;1,271;0;0
46;M_DC1;16;mycorrhizal;monoculture;grass-mono;100;1,509;0,97;0,055;0,037;1,454;0,933;0;0
49;M_G1;17;mycorrhizal;grass-mix;grass-mix;100;4,029;3,965;0,111;0,09;3,918;3,875;1;1
51;M_G3;18;mycorrhizal;grass-mix;grass-mix;100;2,619;3,405;0,097;0,088;2,522;3,317;1;1
53;M_G5;19;mycorrhizal;grass-mix;grass-mix;100;5,004;4,635;0,168;0,137;4,836;4,498;0;0
55;M_G7;20;mycorrhizal;grass-mix;grass-mix;100;1,754;2,275;0,115;0,1;1,639;2,175;0;0
57;M_G9;21;mycorrhizal;grass-mix;grass-mix;100;1,494;1,035;0,106;0,072;1,388;0,963;0;0
59;M_G11;22;mycorrhizal;grass-mix;grass-mix;100;1,744;2,335;0,087;0,067;1,657;2,268;4;4
61;M_G13;23;mycorrhizal;grass-mix;grass-mix;100;1,329;1,615;0,116;0,091;1,213;1,524;1;1
63;M_G15;24;mycorrhizal;grass-mix;grass-mix;100;1,669;1,775;0,068;0,062;1,601;1,713;1;1
65;M_F1;25;mycorrhizal;forb-mix;forb-mix;0;1,359;2,21;0,058;0,022;1,301;2,188;0;0
67;M_F3;26;mycorrhizal;forb-mix;forb-mix;0;2,019;2,306;0,067;0,04;1,952;2,266;13;13
69;M_F5;27;mycorrhizal;forb-mix;forb-mix;0;0,85;1,43;0,117;0,036;0,733;1,394;0;0
71;M_F7;28;mycorrhizal;forb-mix;forb-mix;0;1,369;0,83;0,069;0,02;1,3;0,81;0;0
73;M_F9;29;mycorrhizal;forb-mix;forb-mix;0;2,519;2,97;0,077;0,048;2,442;2,922;2;2
75;M_F11;30;mycorrhizal;forb-mix;forb-mix;0;2,129;2,61;0,096;0,042;2,033;2,568;12;12
77;M_F13;31;mycorrhizal;forb-mix;forb-mix;0;1,639;1,53;0,13;0,065;1,509;1,465;2;2
79;M_F15;32;mycorrhizal;forb-mix;forb-mix;0;1,559;0,81;0,045;0,014;1,514;0,796;23;23
81;M_GF1;33;mycorrhizal;grass-forb-mix;grass-forb-mix;75;1,819;1,83;0,14;0,103;1,679;1,727;4;4
83;M_GF3;34;mycorrhizal;grass-forb-mix;grass-forb-mix;75;2,819;3,43;0,086;0,066;2,733;3,364;0;0
85;M_GF5;35;mycorrhizal;grass-forb-mix;grass-forb-mix;25;1,519;1,73;0,112;0,063;1,407;1,667;0;0
87;M_GF7;36;mycorrhizal;grass-forb-mix;grass-forb-mix;75;2,659;3,385;0,096;0,066;2,563;3,319;1;1
89;M_GF9;37;mycorrhizal;grass-forb-mix;grass-forb-mix;50;0,929;1,51;0,054;0,031;0,875;1,479;0;0
91;M_GF11;38;mycorrhizal;grass-forb-mix;grass-forb-mix;25;3,479;2,79;0,114;0,069;3,365;2,721;6;6
93;M_GF13;39;mycorrhizal;grass-forb-mix;grass-forb-mix;75;2,224;1,235;0,165;0,101;2,059;1,134;1;1
95;M_GF15;40;mycorrhizal;grass-forb-mix;grass-forb-mix;50;1,169;1,31;0,043;0,022;1,126;1,288;38;38
97;M_GF17;41;mycorrhizal;grass-forb-mix;grass-forb-mix;50;0,969;1,09;0,072;0,033;0,897;1,057;2;2
99;M_GF19;42;mycorrhizal;grass-forb-mix;grass-forb-mix;50;1,42;1,515;0,083;0,045;1,337;1,47;0;0
101;M_GF21;43;mycorrhizal;grass-forb-mix;grass-forb-mix;75;2,564;2,295;0,097;0,064;2,467;2,231;1;1
103;M_GF23;44;mycorrhizal;grass-forb-mix;grass-forb-mix;50;1,489;1,87;0,071;0,044;1,418;1,826;0;0
105;M_GF25;45;mycorrhizal;grass-forb-mix;grass-forb-mix;25;1,299;1,266;0,077;0,053;1,222;1,213;1;1
107;M_GF27;46;mycorrhizal;grass-forb-mix;grass-forb-mix;50;3,599;3,075;0,102;0,081;3,497;2,994;2;2
109;M_GF29;47;mycorrhizal;grass-forb-mix;grass-forb-mix;50;1,729;1,11;0,121;0,077;1,608;1,033;2;2
111;M_GF31;48;mycorrhizal;grass-forb-mix;grass-forb-mix;50;2,569;2,535;0,09;0,041;2,479;2,494;1;1
113;M_GF33;49;mycorrhizal;grass-forb-mix;grass-forb-mix;50;1,359;1,11;0,117;0,076;1,242;1,034;0;0
115;M_GF35;50;mycorrhizal;grass-forb-mix;grass-forb-mix;50;1,6;2,815;0,06;0,042;1,54;2,773;0;0
117;M_GF37;51;mycorrhizal;grass-forb-mix;grass-forb-mix;50;1,184;1,595;0,082;0,077;1,102;1,518;7;7
119;M_GF39;52;mycorrhizal;grass-forb-mix;grass-forb-mix;25;1,95;1,755;0,074;0,07;1,876;1,685;3;3
121;M_GF41;53;mycorrhizal;grass-forb-mix;grass-forb-mix;75;1,354;1,715;0,132;0,089;1,222;1,626;2;2
123;M_GF43;54;mycorrhizal;grass-forb-mix;grass-forb-mix;75;1,95;2,155;0,126;0,106;1,824;2,049;0;0
125;M_GF45;55;mycorrhizal;grass-forb-mix;grass-forb-mix;75;3,489;3,755;0,123;0,083;3,366;3,672;0;0
127;M_GF47;56;mycorrhizal;grass-forb-mix;grass-forb-mix;50;1,821;2,315;0,047;0,029;1,774;2,286;0;0
